country;region1;region2
bel;1;1
den;3;1
ger;1;1
gre;4;1
spa;4;1
fra;1;1
ire;1;1
it;4;1
net;1;1
uk;1;1
por;4;1
aus;1;1
fin;3;1
swe;3;1
bul;2;2
cze;2;2
est;2;2
hun;2;2
lat;2;2
lith;2;2
pol;2;2
rom;2;2
slo;2;2
sle;2;2
cro;2;2
tur;;
nor;3;1
swi;1;1
mal;4;1
lux;1;1
cyp;4;1
